epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,931.061,1.44371,0.9633,1.42328,0.68343,0.49786,0.53593,0.26301,1.83772,1.24407,1.82812,0.000396265,0.000396265,0.000396265
43,952.525,1.43829,0.9566,1.40597,0.73542,0.52077,0.55759,0.27092,1.80493,1.19592,1.84189,0.000389661,0.000389661,0.000389661
44,973.974,1.44279,0.95247,1.40771,0.67238,0.52474,0.5714,0.27918,1.83491,1.17907,1.864,0.000383058,0.000383058,0.000383058
45,994.046,1.42619,0.94058,1.41504,0.66626,0.53469,0.56308,0.27897,1.86857,1.22839,1.94538,0.000376455,0.000376455,0.000376455
46,1016.16,1.42881,0.93897,1.4074,0.64537,0.53194,0.54909,0.27703,1.85598,1.24711,1.88082,0.000369851,0.000369851,0.000369851
47,1036.39,1.43459,0.95119,1.4185,0.57559,0.54412,0.57302,0.27426,1.82191,1.2169,1.84551,0.000363248,0.000363248,0.000363248
48,1057.35,1.40154,0.91811,1.41544,0.68083,0.50845,0.55057,0.2688,1.8401,1.21388,1.85917,0.000356645,0.000356645,0.000356645
49,1078.9,1.39468,0.91271,1.39447,0.78836,0.5294,0.57577,0.27356,1.85698,1.25681,1.91757,0.000350042,0.000350042,0.000350042
50,1099.53,1.40218,0.90999,1.3912,0.74649,0.54151,0.58682,0.27905,1.83621,1.21083,1.89003,0.000343438,0.000343438,0.000343438
51,1121.48,1.43199,0.93573,1.41769,0.71515,0.5036,0.55543,0.27404,1.81477,1.23157,1.85316,0.000336835,0.000336835,0.000336835
52,1142.47,1.39682,0.90415,1.38659,0.68349,0.57187,0.59237,0.28891,1.87182,1.24859,1.93282,0.000330232,0.000330232,0.000330232
53,1163.19,1.40845,0.91288,1.38657,0.54806,0.54376,0.55537,0.26884,1.86002,1.1795,1.89512,0.000323628,0.000323628,0.000323628
54,1185.65,1.40412,0.90457,1.39903,0.63691,0.54357,0.55861,0.27185,1.87028,1.21199,1.88727,0.000317025,0.000317025,0.000317025
55,1206.72,1.40348,0.90874,1.40702,0.63573,0.52737,0.54103,0.27092,1.86747,1.19529,1.89093,0.000310422,0.000310422,0.000310422
56,1228.52,1.38062,0.88698,1.37103,0.6673,0.52881,0.55672,0.27418,1.85669,1.24425,1.89039,0.000303818,0.000303818,0.000303818
57,1249.59,1.37589,0.87829,1.37449,0.68189,0.56251,0.6068,0.29069,1.83097,1.17198,1.86878,0.000297215,0.000297215,0.000297215
58,1269.89,1.37088,0.87887,1.36297,0.68985,0.50588,0.54786,0.26161,1.84122,1.17888,1.87409,0.000290612,0.000290612,0.000290612
59,1292.07,1.38275,0.88343,1.3885,0.6553,0.57222,0.59061,0.2778,1.85176,1.17447,1.89111,0.000284009,0.000284009,0.000284009
